batter,total_runs,balls_faced,total_fours,total_sixes,total_matches,batting_average,strike_rate,boundary_runs
YS Chahal,37,89,0,0,17,2.18,41.57,0
S Narwal,37,29,6,0,4,9.25,127.59,24
Sohail Tanvir,36,31,3,1,5,7.2,116.13,18
Joginder Sharma,36,30,1,2,5,7.2,120.0,16
L Balaji,36,50,2,1,13,2.77,72.0,14
KW Richardson,36,39,2,1,4,9.0,92.31,14
AN Ahmed,36,27,4,1,6,6.0,133.33,22
Anureet Singh,36,47,2,1,8,4.5,76.6,14
M Ashwin,35,50,2,1,12,2.92,70.0,14
B Sumanth,35,38,3,0,4,8.75,92.11,12
A Kumble,35,49,3,0,15,2.33,71.43,12
L Ronchi,34,37,6,1,5,6.8,91.89,30
S Sreesanth,34,57,6,0,12,2.83,59.65,24
AP Dole,34,23,3,1,2,17.0,147.83,18
A Mithun,34,26,4,1,6,5.67,130.77,22
Imran Tahir,33,37,5,0,8,4.12,89.19,20
Navdeep Saini,33,38,3,0,7,4.71,86.84,12
D Salunkhe,33,24,5,0,3,11.0,137.5,20
SB Dubey,33,21,3,2,3,11.0,157.14,24
Basil Thampi,32,37,1,1,7,4.57,86.49,10
AT Carey,32,29,0,1,3,10.67,110.34,6
RJ Peterson,32,32,3,1,5,6.4,100.0,18
Ravi Bishnoi,32,52,2,0,14,2.29,61.54,8
NS Naik,31,53,2,0,4,7.75,58.49,8
S Sriram,31,38,3,0,2,15.5,81.58,12
T Taibu,31,26,3,0,3,10.33,119.23,12
J Syed Mohammad,29,27,4,0,5,5.8,107.41,16
Arshdeep Singh,29,42,4,0,11,2.64,69.05,16
VH Zol,29,26,3,1,2,14.5,111.54,18
SB Jakati,28,30,3,0,5,5.6,93.33,12
AS Joseph,27,32,3,0,5,5.4,84.38,12
PJ Sangwan,26,47,1,0,14,1.86,55.32,4
AB Dinda,26,50,2,0,16,1.62,52.0,8
NL McCullum,26,23,0,1,2,13.0,113.04,6
TL Seifert,26,26,4,0,3,8.67,100.0,16
JM Kemp,26,25,1,1,2,13.0,104.0,10
DJ Malan,26,26,1,1,1,26.0,100.0,10
AS Rajpoot,26,41,2,1,7,3.71,63.41,14
AS Roy,26,24,3,0,6,4.33,108.33,12
MD Shanaka,26,26,2,1,3,8.67,100.0,14
Mohsin Khan,25,27,2,1,5,5.0,92.59,14
CV Varun,25,49,2,0,10,2.5,51.02,8
S Chanderpaul,25,33,4,0,3,8.33,75.76,16
A Choudhary,25,20,1,1,3,8.33,125.0,10
Sanvir Singh,25,22,2,1,5,5.0,113.64,14
ER Dwivedi,24,15,2,2,2,12.0,160.0,20
Tanush Kotian,24,32,3,0,1,24.0,75.0,12
AJ Turner,24,31,0,2,6,4.0,77.42,12
KC Cariappa,24,21,0,2,5,4.8,114.29,12
MA Khote,24,22,2,1,3,8.0,109.09,14
Umran Malik,23,16,1,2,5,4.6,143.75,16
P Dubey,23,33,2,0,2,11.5,69.7,8
AF Milne,23,31,0,1,6,3.83,74.19,6
J Arunkumar,23,24,5,0,3,7.67,95.83,20
BMAJ Mendis,23,27,0,0,3,7.67,85.19,0
SW Tait,23,26,1,1,5,4.6,88.46,10
SA Abbott,22,18,1,2,3,7.33,122.22,16
HE van der Dussen,22,25,2,0,3,7.33,88.0,8
AU Rashid,22,17,2,1,2,11.0,129.41,14
GB Hogg,22,22,1,0,4,5.5,100.0,4
KL Nagarkoti,22,34,1,0,7,3.14,64.71,4
Yudhvir Singh,22,16,1,2,4,5.5,137.5,16
TU Deshpande,21,15,2,1,4,5.25,140.0,14
DE Bollinger,21,23,1,1,4,5.25,91.3,10
B Indrajith,21,31,2,0,3,7.0,67.74,8
C Sakariya,20,31,3,0,7,2.86,64.52,12
AC Thomas,20,19,1,1,4,5.0,105.26,10
NJ Maddinson,20,21,4,0,3,6.67,95.24,16
M Muralitharan,20,30,1,0,9,2.22,66.67,4
S Kaul,20,36,1,0,9,2.22,55.56,4
RR Raje,20,18,1,1,5,4.0,111.11,10
NT Ellis,19,26,0,1,5,3.8,73.08,6
Gulbadin Naib,19,15,1,1,1,19.0,126.67,10
P Ray Barman,19,25,2,0,1,19.0,76.0,8
Y Gnaneswara Rao,19,18,3,0,1,19.0,105.56,12
Akash Deep,19,12,2,1,3,6.33,158.33,14
R Shukla,19,23,2,0,4,4.75,82.61,8
R Bishnoi,19,17,1,2,3,6.33,111.76,16
DR Martyn,19,26,1,0,1,19.0,73.08,4
P Sahu,19,13,1,1,2,9.5,146.15,10
JR Hazlewood,19,29,1,0,6,3.17,65.52,4
A Mukund,19,23,1,0,2,9.5,82.61,4
Harmeet Singh,18,12,3,0,4,4.5,150.0,12
Naveen-ul-Haq,18,26,2,0,4,4.5,69.23,8
DS Lehmann,18,19,3,0,2,9.0,94.74,12
PV Tambe,18,39,1,0,6,3.0,46.15,4
