batter,total_runs,balls_faced,total_fours,total_sixes,total_matches,batting_average,strike_rate,boundary_runs
RN ten Doeschate,326,238,26,15,21,15.52,136.97,194
Anuj Rawat,318,276,26,14,21,15.14,115.22,188
R Vinay Kumar,310,289,21,9,42,7.38,107.27,138
SN Thakur,307,228,27,13,35,8.77,134.65,186
B Kumar,306,338,30,3,65,4.71,90.53,138
Lalit Yadav,305,301,27,7,21,14.52,101.33,150
DB Das,304,267,23,16,22,13.82,113.86,188
C de Grandhomme,303,229,18,18,21,14.43,132.31,180
Nithish Kumar Reddy,303,221,15,21,11,27.55,137.1,186
LA Pomersbach,302,251,25,13,16,18.88,120.32,178
UBT Chand,300,314,32,9,20,15.0,95.54,182
DJG Sammy,295,251,15,18,20,14.75,117.53,168
SP Goswami,293,307,32,3,21,13.95,95.44,146
Rahmanullah Gurbaz,289,228,24,19,13,22.23,126.75,210
Y Nagar,285,271,20,9,20,14.25,105.17,134
GH Vihari,284,331,23,1,23,12.35,85.8,98
VVS Laxman,282,271,33,5,20,14.1,104.06,162
B Chipli,280,256,28,7,21,13.33,109.38,154
A Ashish Reddy,280,196,16,15,23,12.17,142.86,154
MJ Lumb,278,198,45,6,12,23.17,140.4,216
PBB Rajapaksa,277,201,22,15,13,21.31,137.81,178
PK Garg,273,247,16,9,19,14.37,110.53,118
MJ Guptill,271,197,24,15,13,20.85,137.56,186
R Sathish,270,236,22,6,24,11.25,114.41,124
JO Holder,259,217,13,18,27,9.59,119.35,160
M Kaif,259,258,22,6,22,11.77,100.39,124
